Sipariş_Kodu,Blok_ID,Blok_Tipi,Tedarikçi_Firma,Teslimat_Yeri,Ağırlık_Ton,İstasyon,Uygulayıcı_Ekip,Planlanan_Adam_Saat,Gerçekleşen_Adam_Saat,Planlanan_Maliyet_USD,Gerçekleşen_Maliyet_USD,NDT_Sonucu,Planlanan_Başlangıç,Planlanan_Bitiş,Gerçekleşen_Başlangıç,Gerçekleşen_Bitiş,Gecikme_Süresi_Gün,Gecikme_Nedeni,Durum,Tamamlanma_Yüzdesi
NB-503 (Kuru Yük),BLK-040,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,20,Ön Montaj,Taşeron - Alfa,323,323,23560,23560,Geçti,2026-01-01,2026-01-20,2026-01-01,2026-01-20,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-040,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,20,Montaj,Dahili Ekip,154,154,16940,16940,Geçti,2026-01-21,2026-02-01,2026-01-21,2026-02-01,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-040,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,20,Kaynak,Taşeron - Omega,160,160,12640,12640,Geçti,2026-02-03,2026-02-11,2026-02-03,2026-02-11,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-040,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,20,Boyama,Taşeron - Alfa,143,143,20800,20800,Muaf,2026-02-13,2026-02-26,2026-02-13,2026-02-26,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-040,Çift Dip (Double Bottom),Kardemir,Kuru Havuz B,20,Donatım,Taşeron - Omega,140,140,21560,21560,Muaf,2026-02-28,2026-03-14,2026-02-28,2026-03-14,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Kesim,Dahili Ekip,45,45,5856,5856,Muaf,2025-11-22,2025-11-25,2025-11-22,2025-11-25,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Ön Montaj,Taşeron - Alfa,140,140,23680,23680,Geçti,2025-11-26,2025-12-06,2025-11-26,2025-12-06,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Montaj,Taşeron - Beta,180,180,24480,24480,Geçti,2025-12-07,2025-12-22,2025-12-07,2025-12-22,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Kaynak,Dahili Ekip,276,372,23424,26718,Kaldı - Yeniden İşlem,2025-12-23,2026-01-04,2025-12-23,2026-01-10,6,Kalite Reddi (NDT),Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Boyama,Dahili Ekip,190,190,31008,31008,Muaf,2026-01-12,2026-01-31,2026-01-12,2026-01-31,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-041,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Açık Saha Donatım,32,Donatım,Taşeron - Omega,352,352,31232,31232,Muaf,2026-02-02,2026-02-18,2026-02-02,2026-02-18,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Kesim,Taşeron - Omega,48,169,39420,47329,Geçti,2025-10-30,2025-11-05,2025-10-30,2025-11-16,11,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Ön Montaj,Dahili Ekip,135,205,93150,98365,Geçti,2025-11-17,2025-12-02,2025-11-17,2025-12-07,5,Kalite Reddi (NDT),Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Montaj,Taşeron - Beta,171,171,104310,104310,Geçti,2025-12-09,2025-12-28,2025-12-09,2025-12-28,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Kaynak,Taşeron - Alfa,90,90,52200,52200,Geçti,2025-12-30,2026-01-09,2025-12-30,2026-01-09,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Boyama,Taşeron - Beta,120,120,45900,45900,Muaf,2026-01-10,2026-01-20,2026-01-10,2026-01-20,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-042,Çift Dip (Double Bottom),Erdemir,Açık Saha Donatım,90,Donatım,Taşeron - Beta,352,382,109440,111339,Geçti,2026-01-21,2026-02-06,2026-01-21,2026-02-09,3,Hava Muhalefeti,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Kesim,Dahili Ekip,102,102,38478,38478,Muaf,2025-11-02,2025-11-08,2025-11-02,2025-11-08,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Ön Montaj,Taşeron - Alfa,182,350,94864,102796,Geçti,2025-11-09,2025-11-23,2025-11-09,2025-12-05,12,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Montaj,Dahili Ekip,216,216,114708,114708,Geçti,2025-12-07,2025-12-19,2025-12-07,2025-12-19,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Kaynak,Dahili Ekip,130,130,81796,81796,Geçti,2025-12-21,2026-01-03,2025-12-21,2026-01-03,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Boyama,Dahili Ekip,180,220,156816,164076,Muaf,2026-01-04,2026-01-22,2026-01-04,2026-01-27,5,Hava Muhalefeti,Tamamlandı,100
NB-502 (Römorkör),BLK-043,Gövde,Yerel Tedarikçi A.Ş.,Kuru Havuz B,121,Donatım,Taşeron - Beta,322,322,96558,96558,Muaf,2026-01-29,2026-02-12,2026-01-29,2026-02-12,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Kesim,Taşeron - Omega,110,110,55845,55845,Muaf,2026-01-05,2026-01-10,2026-01-05,2026-01-10,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Ön Montaj,Taşeron - Beta,300,300,126225,126225,Geçti,2026-01-11,2026-01-26,2026-01-11,2026-01-26,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Montaj,Taşeron - Alfa,299,299,159120,159120,Geçti,2026-01-27,2026-02-09,2026-01-27,2026-02-09,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Kaynak,Taşeron - Beta,288,418,143208,149748,Geçti,2026-02-11,2026-02-23,2026-02-11,2026-03-05,10,Malzeme Eksikliği,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Boyama,Dahili Ekip,144,199,161568,164548,Muaf,2026-03-07,2026-03-23,2026-03-07,2026-03-28,5,Hava Muhalefeti,Tamamlandı,100
NB-502 (Römorkör),BLK-044,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz B,153,Donatım,Taşeron - Omega,280,280,232560,232560,Muaf,2026-03-29,2026-04-18,2026-03-29,2026-04-18,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Kesim,Taşeron - Omega,24,120,3366,13062,Geçti,2025-12-07,2025-12-10,2025-12-07,2025-12-22,12,Hava Muhalefeti,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Ön Montaj,Taşeron - Omega,168,168,21120,21120,Geçti,2025-12-24,2026-01-05,2025-12-24,2026-01-05,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Montaj,Taşeron - Omega,357,357,23188,23188,Geçti,2026-01-07,2026-01-24,2026-01-07,2026-01-24,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Kaynak,Dahili Ekip,130,130,20592,20592,Geçti,2026-01-25,2026-02-07,2026-01-25,2026-02-07,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Boyama,Taşeron - Beta,180,180,22968,22968,Muaf,2026-02-09,2026-02-27,2026-02-09,2026-02-27,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-045,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz A,22,Donatım,Taşeron - Alfa,324,324,29304,29304,Muaf,2026-02-28,2026-03-18,2026-02-28,2026-03-18,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Kesim,Dahili Ekip,154,199,44625,50420,Geçti,2025-11-23,2025-11-30,2025-11-23,2025-12-05,5,İşgücü Yetersizliği,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Ön Montaj,Taşeron - Omega,130,130,53550,53550,Geçti,2025-12-07,2025-12-17,2025-12-07,2025-12-17,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Montaj,Dahili Ekip,286,286,56355,56355,Geçti,2025-12-18,2025-12-31,2025-12-18,2025-12-31,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Kaynak,Dahili Ekip,147,147,36295,36295,Geçti,2026-01-01,2026-01-08,2026-01-01,2026-01-08,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Boyama,Taşeron - Beta,264,264,55165,55165,Muaf,2026-01-09,2026-01-20,2026-01-09,2026-01-20,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-046,Tank,ThyssenKrupp,Kızak 2,85,Donatım,Dahili Ekip,315,315,77775,77775,Muaf,2026-01-22,2026-02-06,2026-01-22,2026-02-06,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Kesim,Taşeron - Alfa,110,110,50625,50625,Muaf,2025-11-25,2025-11-30,2025-11-25,2025-11-30,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Ön Montaj,Dahili Ekip,110,198,70200,80232,Geçti,2025-12-01,2025-12-11,2025-12-01,2025-12-19,8,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Montaj,Taşeron - Alfa,160,160,72900,72900,Geçti,2025-12-20,2025-12-30,2025-12-20,2025-12-30,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Kaynak,Dahili Ekip,143,143,90585,90585,Geçti,2025-12-31,2026-01-11,2025-12-31,2026-01-11,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Boyama,Taşeron - Alfa,247,337,148770,159820,Muaf,2026-01-13,2026-02-01,2026-01-13,2026-02-11,10,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-047,Çift Dip (Double Bottom),ThyssenKrupp,Kuru Havuz B,135,Donatım,Dahili Ekip,204,314,151470,160180,Geçti,2026-02-12,2026-03-01,2026-02-12,2026-03-11,10,Hava Muhalefeti,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Kesim,Taşeron - Omega,161,215,46851,51153,Kaldı - Yeniden İşlem,2025-11-06,2025-11-13,2025-11-06,2025-11-19,6,İşgücü Yetersizliği,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Ön Montaj,Taşeron - Beta,120,120,59170,59170,Geçti,2025-11-20,2025-11-30,2025-11-20,2025-11-30,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Montaj,Taşeron - Alfa,100,220,57230,64300,Geçti,2025-12-02,2025-12-12,2025-12-02,2025-12-22,10,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Kaynak,Taşeron - Beta,136,136,45008,45008,Geçti,2025-12-24,2026-01-01,2025-12-24,2026-01-01,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Boyama,Taşeron - Beta,374,444,120377,129631,Muaf,2026-01-02,2026-01-19,2026-01-02,2026-01-26,7,Hava Muhalefeti,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-048,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz A,97,Donatım,Taşeron - Alfa,286,286,90792,90792,Muaf,2026-01-28,2026-02-10,2026-01-28,2026-02-10,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Kesim,Dahili Ekip,72,72,46860,46860,Muaf,2025-10-24,2025-10-30,2025-10-24,2025-10-30,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Ön Montaj,Taşeron - Alfa,234,234,130680,130680,Geçti,2025-10-31,2025-11-18,2025-10-31,2025-11-18,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Montaj,Taşeron - Beta,272,272,114070,114070,Geçti,2025-11-20,2025-12-07,2025-11-20,2025-12-07,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Kaynak,Taşeron - Beta,207,207,55440,55440,Geçti,2025-12-08,2025-12-17,2025-12-08,2025-12-17,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Boyama,Dahili Ekip,195,355,91520,97300,Muaf,2025-12-19,2026-01-01,2025-12-19,2026-01-11,10,Ekipman/Vinç Arızası,Tamamlandı,100
NB-503 (Kuru Yük),BLK-049,Tank,Yerel Tedarikçi A.Ş.,Kuru Havuz B,110,Donatım,Taşeron - Beta,336,336,118580,118580,Muaf,2026-01-13,2026-01-27,2026-01-13,2026-01-27,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Kesim,Taşeron - Beta,84,84,10004,10004,Muaf,2025-12-19,2025-12-23,2025-12-19,2025-12-23,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Ön Montaj,Taşeron - Omega,342,390,39114,42522,Geçti,2025-12-24,2026-01-11,2025-12-24,2026-01-14,3,İşgücü Yetersizliği,Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Montaj,Taşeron - Alfa,196,244,30996,39330,Geçti,2026-01-15,2026-01-29,2026-01-15,2026-02-04,6,Ekipman/Vinç Arızası,Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Kaynak,Taşeron - Alfa,133,283,17507,22697,Kaldı - Yeniden İşlem,2026-02-06,2026-02-13,2026-02-06,2026-02-23,10,Kalite Reddi (NDT),Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Boyama,Taşeron - Alfa,130,130,29520,29520,Muaf,2026-02-24,2026-03-06,2026-02-24,2026-03-06,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-050,Çift Dip (Double Bottom),SSAB,Kuru Havuz B,41,Donatım,Taşeron - Alfa,110,173,22550,28262,Kaldı - Yeniden İşlem,2026-03-08,2026-03-18,2026-03-08,2026-03-25,7,Ekipman/Vinç Arızası,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Kesim,Taşeron - Alfa,88,208,5824,10248,Geçti,2025-10-10,2025-10-14,2025-10-10,2025-10-22,8,Ekipman/Vinç Arızası,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Ön Montaj,Dahili Ekip,240,240,17808,17808,Geçti,2025-10-23,2025-11-04,2025-10-23,2025-11-04,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Montaj,Taşeron - Alfa,456,573,42560,49085,Kaldı - Yeniden İşlem,2025-11-05,2025-11-24,2025-11-05,2025-12-03,9,Malzeme Eksikliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Kaynak,Taşeron - Beta,63,63,12936,12936,Geçti,2025-12-05,2025-12-12,2025-12-05,2025-12-12,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Boyama,Dahili Ekip,288,438,39312,50762,Muaf,2025-12-14,2026-01-01,2025-12-14,2026-01-11,10,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-051,Makine Dairesi,SSAB,Kızak 2,28,Donatım,Taşeron - Alfa,180,180,26544,26544,Muaf,2026-01-12,2026-01-24,2026-01-12,2026-01-24,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Kesim,Taşeron - Alfa,52,76,26264,28913,Geçti,2026-01-01,2026-01-05,2026-01-01,2026-01-08,3,Malzeme Eksikliği,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Ön Montaj,Dahili Ekip,352,352,105056,105056,Geçti,2026-01-09,2026-01-25,2026-01-09,2026-01-25,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Montaj,Taşeron - Omega,216,351,67032,75735,Kaldı - Yeniden İşlem,2026-01-26,2026-02-07,2026-01-26,2026-02-16,9,Hava Muhalefeti,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Kaynak,Taşeron - Omega,144,144,56448,56448,Geçti,2026-02-18,2026-02-27,2026-02-18,2026-02-27,0,Yok,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Boyama,Dahili Ekip,399,591,94962,106038,Muaf,2026-02-28,2026-03-19,2026-02-28,2026-03-31,12,Hava Muhalefeti,Tamamlandı,100
NB-502 (Römorkör),BLK-052,Üst Bina,Kardemir,Açık Saha Donatım,98,Donatım,Taşeron - Beta,304,304,115444,115444,Bekliyor,2026-04-02,2026-04-21,2026-04-02,,0,Yok,Devam Ediyor,42
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Kesim,Taşeron - Alfa,76,160,31824,39664,Geçti,2025-11-15,2025-11-19,2025-11-15,2025-11-26,7,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Ön Montaj,Taşeron - Omega,168,186,126684,129404,Kaldı - Yeniden İşlem,2025-11-27,2025-12-09,2025-11-27,2025-12-11,2,İşgücü Yetersizliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Montaj,Dahili Ekip,165,205,117045,120670,Geçti,2025-12-13,2025-12-28,2025-12-13,2026-01-02,5,Malzeme Eksikliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Kaynak,Taşeron - Beta,99,179,124542,131998,Geçti,2026-01-03,2026-01-14,2026-01-03,2026-01-22,8,Malzeme Eksikliği,Tamamlandı,100
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Boyama,Taşeron - Omega,480,480,177480,177480,Muaf,2026-01-24,2026-02-13,2026-01-24,2026-02-13,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-053,Çift Dip (Double Bottom),SSAB,Kızak 2,153,Donatım,Dahili Ekip,99,99,112761,112761,Muaf,2026-02-14,2026-02-25,2026-02-14,2026-02-25,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Kesim,Taşeron - Beta,24,74,5913,11373,Geçti,2026-01-09,2026-01-12,2026-01-09,2026-01-17,5,Hava Muhalefeti,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Ön Montaj,Dahili Ekip,234,289,36450,40745,Geçti,2026-01-18,2026-02-05,2026-01-18,2026-02-10,5,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Montaj,Taşeron - Beta,136,136,29376,29376,Geçti,2026-02-11,2026-02-28,2026-02-11,2026-02-28,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Kaynak,Taşeron - Beta,80,80,16470,16470,Geçti,2026-03-01,2026-03-11,2026-03-01,2026-03-11,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Boyama,Dahili Ekip,168,168,25596,25596,Muaf,2026-03-12,2026-03-24,2026-03-12,2026-03-24,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-054,Makine Dairesi,SSAB,Kuru Havuz A,27,Donatım,Taşeron - Alfa,220,292,18090,22994,Geçti,2026-03-26,2026-04-05,2026-03-26,2026-04-13,8,Ekipman/Vinç Arızası,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Kesim,Taşeron - Omega,60,138,15504,23472,Geçti,2025-10-10,2025-10-13,2025-10-10,2025-10-19,6,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Ön Montaj,Taşeron - Omega,378,378,84456,84456,Geçti,2025-10-20,2025-11-07,2025-10-20,2025-11-07,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Montaj,Taşeron - Omega,195,195,50388,50388,Geçti,2025-11-09,2025-11-22,2025-11-09,2025-11-22,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Kaynak,Taşeron - Alfa,221,221,58344,58344,Geçti,2025-11-24,2025-12-07,2025-11-24,2025-12-07,0,Yok,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Boyama,Dahili Ekip,165,191,59092,60342,Muaf,2025-12-09,2025-12-20,2025-12-09,2025-12-22,2,Hava Muhalefeti,Tamamlandı,100
NB-503 (Kuru Yük),BLK-055,Çift Dip (Double Bottom),Yerel Tedarikçi A.Ş.,Kuru Havuz A,68,Donatım,Dahili Ekip,288,288,57936,57936,Muaf,2025-12-23,2026-01-04,2025-12-23,2026-01-04,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Kesim,Dahili Ekip,112,196,83496,92015,Geçti,2025-11-11,2025-11-18,2025-11-11,2025-11-25,7,Kalite Reddi (NDT),Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Ön Montaj,Taşeron - Omega,208,208,169344,169344,Geçti,2025-11-26,2025-12-12,2025-11-26,2025-12-12,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Montaj,Taşeron - Omega,128,154,196224,198696,Geçti,2025-12-14,2025-12-30,2025-12-14,2026-01-01,2,Malzeme Eksikliği,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Kaynak,Taşeron - Beta,184,282,83328,91966,Geçti,2026-01-02,2026-01-10,2026-01-02,2026-01-17,7,Malzeme Eksikliği,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Boyama,Taşeron - Alfa,340,340,238560,238560,Muaf,2026-01-18,2026-02-07,2026-01-18,2026-02-07,0,Yok,Tamamlandı,100
NB-501 (Kimyasal Tanker),BLK-056,Gövde,Erdemir,Kuru Havuz B,168,Donatım,Taşeron - Beta,340,340,205632,205632,Muaf,2026-02-08,2026-02-25,2026-02-08,2026-02-25,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-057,Gövde,Kardemir,Kuru Havuz B,147,Kesim,Taşeron - Omega,60,114,33516,41466,Geçti,2025-11-14,2025-11-17,2025-11-14,2025-11-23,6,Kalite Reddi (NDT),Tamamlandı,100
NB-504 (Askeri Gemi),BLK-057,Gövde,Kardemir,Kuru Havuz B,147,Ön Montaj,Taşeron - Beta,143,143,116571,116571,Geçti,2025-11-24,2025-12-07,2025-11-24,2025-12-07,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-057,Gövde,Kardemir,Kuru Havuz B,147,Montaj,Taşeron - Omega,165,165,158760,158760,Geçti,2025-12-08,2025-12-23,2025-12-08,2025-12-23,0,Yok,Tamamlandı,100
NB-504 (Askeri Gemi),BLK-057,Gövde,Kardemir,Kuru Havuz B,147,Kaynak,Taşeron - Alfa,190,260,102900,106554,Kaldı - Yeniden İşlem,2025-12-24,2026-01-03,2025-12-24,2026-01-10,7,Kalite Reddi (NDT),Tamamlandı,100
